run_name,dimension,group,small_group_caution,count,mae,rmse,pearson,mean_error,median_absolute_error,absolute_error_p90,absolute_error_p95,mean_label,mean_prediction,threshold,threshold_accuracy,threshold_balanced_accuracy,threshold_precision,threshold_recall,threshold_specificity,threshold_f1,true_positive,true_negative,false_positive,false_negative,soft_brier_score,soft_expected_calibration_error
fi_v2_mag_bert_arl_bce,visual_quality,good,False,1991,0.09847459783810338,0.12421956759845758,0.5606949420950726,0.005354236218271874,0.08176201581954956,0.20736894011497498,0.24541151523590088,0.5055412902327892,0.5108955264510611,0.5,0.6911099949773983,0.6878635516668692,0.6953818827708703,0.7421800947867299,0.6335470085470085,0.718019257221458,783,593,343,272,0.01543050097434777,0.026561393742582873
fi_v2_mag_bert_arl_bce,visual_quality,low_quality,True,8,0.12472191825509071,0.14416643752184619,0.07168738034725469,0.053455110639333725,0.13037794828414917,0.2040737196803093,0.22293322905898091,0.3224298991262913,0.375885009765625,0.5,0.75,0.42857142857142855,0.0,0.0,0.8571428571428571,0.0,0,6,1,1,0.020783961707740384,0.0642737336456776
fi_v2_mag_bert_arl_bce,answer_length,long_61_plus_words,False,169,0.09091368538035444,0.11710243696067804,0.3830985729310718,0.021078181249150157,0.07043570280075073,0.19497846364974983,0.23970500230789185,0.552894983506767,0.5739731647559172,0.5,0.6923076923076923,0.5965354586857514,0.7388059701492538,0.853448275862069,0.33962264150943394,0.792,99,18,35,17,0.013712980742129574,0.04091766132758218
fi_v2_mag_bert_arl_bce,answer_length,medium_31_60_words,False,1664,0.09886496882357348,0.12413147710856744,0.54565940586038,0.005924135905493481,0.08325766026973724,0.20938572883605958,0.2451605454087257,0.5106993611037839,0.5166234970092773,0.5,0.6820913461538461,0.6757074097382467,0.6943589743589743,0.7455947136563876,0.6058201058201058,0.7190653212958045,677,458,298,231,0.015408623609154801,0.02429323072787019
fi_v2_mag_bert_arl_bce,answer_length,short_1_30_words,False,166,0.10352396801203849,0.13287723527310608,0.4016066547456292,-0.014048491458756378,0.08725175261497498,0.20324820280075073,0.25851126573979855,0.39680216239249133,0.3827536709337349,0.5,0.7831325301204819,0.568330223880597,0.3888888888888889,0.21875,0.917910447761194,0.28,7,123,11,25,0.017656359653824387,0.03340308855186743
fi_v2_mag_bert_arl_bce,transcript_confidence,high_0.85_plus,False,677,0.09737004254403987,0.12271876355869661,0.5442697879277397,0.006249060268284123,0.0795350968837738,0.19996075630187987,0.24427753686904896,0.5371692041911879,0.543418264459472,0.5,0.7090103397341211,0.6733224177166011,0.7371794871794872,0.8233890214797136,0.5232558139534884,0.7779030439684329,345,135,123,74,0.015059894929375284,0.02291836858654127
fi_v2_mag_bert_arl_bce,transcript_confidence,low_below_0.75,False,195,0.09884097941028766,0.12500093394833156,0.5426134213658625,0.009330660544144801,0.08732932806015015,0.19721040427684783,0.23775644898414594,0.43537023589015006,0.4447008964342949,0.5,0.717948717948718,0.6677938432835822,0.6071428571428571,0.5074626865671642,0.828125,0.5528455284552846,34,106,22,33,0.015625233487955147,0.03072218866302419
fi_v2_mag_bert_arl_bce,transcript_confidence,medium_0.75_to_0.85,False,1127,0.09926103802518497,0.12512967448168222,0.5367303025546918,0.0044701265199266925,0.08234156668186188,0.21255841255187988,0.24582176208496098,0.497383674188536,0.5018538007084627,0.5,0.676131322094055,0.6757504173359791,0.6699834162520729,0.7087719298245614,0.6427289048473968,0.6888320545609546,404,358,199,166,0.015657435435891758,0.02925106975602807
fi_v2_mag_bert_arl_bce,label_range,high_0.67_to_1.0,False,258,0.13456222738406454,0.15694254712317587,0.2149733486837645,-0.13129690197087074,0.1219402551651001,0.23932898044586182,0.28302445411682126,0.7329928276612777,0.601695925690407,0.5,0.9069767441860465,0.45348837209302323,1.0,0.9069767441860465,0.0,0.951219512195122,234,0,0,24,0.024630963097510276,0.13129690197087077
fi_v2_mag_bert_arl_bce,label_range,low_0_to_0.33,False,247,0.13745586580110464,0.1665379521311127,0.20997387660010583,0.13135293222632002,0.1292370930314064,0.2620308816432953,0.29653731733560557,0.25744447256872044,0.3887974047950405,0.5,0.8663967611336032,0.4331983805668016,0.0,0.0,0.8663967611336032,0.0,0,214,33,0,0.027734889500024784,0.13205771528274907
