rank,video_id,label,reference_prediction,reference_absolute_error,visual_quality,word_count,transcript_confidence,visual_confidence,prediction__fi_v2_mag_bert_arl_bce,prediction__fi_v2_mag_bert_arl_mse,prediction__fi_v2_mag_bert_arl_mse_bce,prediction__fi_v2_mag_bert_text_audio,prediction__fi_v2_mag_bert,prediction__fi_v2_mag_bert_text_visual,prediction__fi_v2_text_baseline
1,2DZb5yIc6Fg.005.mp4,0.0,0.47216796875,0.47216796875,good,41,0.8988292682926828,0.9800000000000004,0.488037109375,0.52099609375,0.495849609375,0.52294921875,0.47216796875,0.47314453125,0.439208984375
2,PooFvZH6fK0.002.mp4,0.663551390171051,0.254638671875,0.408912718296051,good,2,0.7165,0.9796083550913841,0.21142578125,0.199462890625,0.199462890625,0.26806640625,0.254638671875,0.2298583984375,0.332763671875
3,_ZAqTHlu2ts.000.mp4,0.20560747385025024,0.61181640625,0.40620893239974976,good,50,0.7887000000000001,0.9565013054830289,0.5166015625,0.490234375,0.48779296875,0.599609375,0.61181640625,0.5263671875,0.59375
4,_IQX3zjINy4.003.mp4,0.25233644247055054,0.64697265625,0.39463621377944946,good,48,0.8579166666666667,0.9743864229765016,0.6279296875,0.6298828125,0.62353515625,0.6171875,0.64697265625,0.5771484375,0.54345703125
5,3GylAjrajHs.005.mp4,0.07476635277271271,0.4560546875,0.3812883347272873,good,49,0.772265306122449,0.9545430809399479,0.5234375,0.498291015625,0.473388671875,0.52978515625,0.4560546875,0.490234375,0.499755859375
6,xVJDjbiIjTo.000.mp4,0.2429906576871872,0.6201171875,0.3771265298128128,good,67,0.8754179104477612,0.975300261096606,0.5869140625,0.59912109375,0.59619140625,0.53466796875,0.6201171875,0.5595703125,0.560546875
7,m04e9ylCoK0.002.mp4,0.5514018535614014,0.195556640625,0.35584521293640137,good,43,0.8981627906976745,0.9775979112271543,0.2568359375,0.2391357421875,0.237548828125,0.416259765625,0.195556640625,0.1942138671875,0.60986328125
8,8OckVmEZ8X8.002.mp4,0.25233644247055054,0.5947265625,0.34239012002944946,good,46,0.8513043478260869,0.9777127659574472,0.5380859375,0.51904296875,0.5380859375,0.4248046875,0.5947265625,0.63037109375,0.4677734375
9,gM_KAA-ejJA.000.mp4,0.9158878326416016,0.57568359375,0.34020423889160156,good,56,0.8393214285714287,0.9665274151436033,0.52294921875,0.55224609375,0.51123046875,0.578125,0.57568359375,0.52783203125,0.5859375
10,yEE9FoKWdpU.004.mp4,0.3177570104598999,0.6572265625,0.3394695520401001,good,57,0.7728771929824562,0.9668146214099219,0.67724609375,0.68115234375,0.65966796875,0.70361328125,0.6572265625,0.60595703125,0.607421875
11,oGa05H9UXxU.000.mp4,0.1962616890668869,0.53564453125,0.3393828421831131,good,38,0.7776052631578947,0.9310443864229766,0.5537109375,0.541015625,0.54736328125,0.446533203125,0.53564453125,0.5234375,0.56005859375
12,LGgx7RVdL2Y.001.mp4,0.17757008969783783,0.51416015625,0.33659006655216217,low_quality,43,0.9062558139534884,0.9454770318021203,0.365478515625,0.33544921875,0.34912109375,0.400390625,0.51416015625,0.464599609375,0.478759765625
13,85isLsZHZpo.005.mp4,0.9158878326416016,0.57958984375,0.33629798889160156,good,39,0.8197692307692308,0.9749086161879899,0.56689453125,0.59765625,0.56591796875,0.56591796875,0.57958984375,0.58447265625,0.465576171875
14,_ZAqTHlu2ts.002.mp4,0.29906541109085083,0.630859375,0.33179396390914917,good,59,0.884,0.9555874673629244,0.6083984375,0.59130859375,0.599609375,0.6181640625,0.630859375,0.6005859375,0.6572265625
15,SFHklR7lWCA.001.mp4,0.5981308221817017,0.271484375,0.32664644718170166,good,93,0.8728924731182796,0.9779112271540472,0.274169921875,0.30859375,0.2978515625,0.4287109375,0.271484375,0.369384765625,0.373046875
16,Bo-mrL28d8M.001.mp4,0.10280373692512512,0.42724609375,0.3244423568248749,good,29,0.7894482758620689,0.9326892950391645,0.382568359375,0.36669921875,0.359619140625,0.47412109375,0.42724609375,0.4619140625,0.40771484375
17,8lg8A_zFOmg.004.mp4,0.09345794469118118,0.417724609375,0.3242666646838188,good,47,0.7806808510638298,0.9361357702349868,0.425537109375,0.45263671875,0.43798828125,0.45458984375,0.417724609375,0.474365234375,0.4951171875
18,2DZb5yIc6Fg.004.mp4,0.05607476457953453,0.37939453125,0.32331976667046547,good,21,0.7210952380952381,0.9754046997389038,0.27001953125,0.2451171875,0.27001953125,0.234619140625,0.37939453125,0.330810546875,0.41357421875
19,Bo-mrL28d8M.005.mp4,0.15887850522994995,0.48046875,0.32159024477005005,good,30,0.8716333333333334,0.9220365535248042,0.337890625,0.3056640625,0.32470703125,0.42578125,0.48046875,0.5087890625,0.403564453125
20,H523MhINmbA.000.mp4,0.28037384152412415,0.6005859375,0.32021209597587585,good,52,0.8609038461538461,0.9665013054830289,0.53466796875,0.5234375,0.5224609375,0.58447265625,0.6005859375,0.56494140625,0.5810546875
